"Note: In Ramey's regressions, all GDP and hours variables were entered as log(x/totpop). ",,,,,,,,,,,,,,,,,,,,,,
"Real GDP and its components are indexes, equal to 100 in 2005.  DO NOT ADD.",,,,,,,,,,,,,,,,,,,,,,
,Nominal present value of news variable,pdvmil divided by nominal gdp of previous quarter,real gdp,real total consumption,real durable consumption,real nondurable consumption,real services consumption,real fixed investment,real nonresidential fixed investment,real residential investment,real government spending,real federal spending,real defense spending,Real consumer stock of durables,total hours - Household based measure,Military hours,"total population, including armed forces overseas",Real manufacturing product wage,Consumer price index,BAA bond interest rate,Interest rate on 3-month T-bills,Barro-Redlick Avg. marginal tax rate
,,,,,,,,,,,,,,,,,,,,,,
quarter,pdvmil,pdvmily,rgdp,rcons,rcdur,rcnd,rcsv,rinvfx,rnri,rres,rgov,rfed,rdef,kcdur,tothours,milithours,totpop,rwmfg,cpi,BAA,tb3,amtbr
1946.5,3.7,0.017,14.10,12.86,4.49,21.67,11.85,8.48,7.05,13.89,18.21,29.39,38.05,3.81,129.83,5.55,142073,0.05,20.13,3.05,0.38,0.238
1946.75,0,0.000,13.72,12.55,4.48,20.90,11.85,9.04,7.58,13.90,17.87,28.78,34.87,3.93,130.23,4.69,142758,0.05,21.20,3.16,0.38,0.238
1947,0,0.000,14.02,12.83,4.54,21.56,11.72,9.33,7.92,14.61,17.18,25.54,31.44,4.05,129.59,3.84,143442,0.04,21.70,3.13,0.38,0.238
1947.25,7.8,0.033,14.00,13.04,4.64,21.93,11.89,9.08,7.79,13.88,17.29,25.60,29.38,4.17,128.85,2.98,144126,0.05,22.01,3.18,0.38,0.238
1947.5,0,0.000,13.99,13.09,4.70,22.03,11.86,9.39,7.64,16.01,17.45,25.61,30.89,4.29,128.86,2.92,144752,0.05,22.49,3.19,0.74,0.238
1947.75,0,0.000,14.20,13.09,5.01,21.74,11.80,10.22,7.88,19.11,17.19,24.72,31.11,4.41,128.88,2.86,145379,0.05,23.13,3.44,0.91,0.238
1948,1.8,0.007,14.43,13.15,4.98,21.81,11.93,10.56,8.37,18.88,17.53,25.56,31.02,4.52,127.80,2.58,146005,0.05,23.62,3.53,0.99,0.193
1948.25,3.5,0.013,14.69,13.31,5.02,22.03,12.11,10.55,8.08,19.98,18.38,27.12,30.77,4.64,127.83,2.63,146631,0.05,23.99,3.40,1.00,0.193
1948.5,0,0.000,14.77,13.33,5.10,21.89,12.18,10.44,8.10,19.34,18.74,27.67,30.31,4.75,127.97,2.79,147270,0.05,24.40,3.42,1.05,0.193
1948.75,0,0.000,14.79,13.43,5.03,22.18,12.30,10.32,8.31,17.91,19.52,29.17,31.82,4.86,128.03,2.95,147910,0.05,24.17,3.52,1.14,0.193
