"Note: In Ramey's regressions, all GDP and hours variables were entered as log(x/totpop). ",,,,,,,,,,,,,,,,,,,,,,
"Real GDP and its components are indexes, equal to 100 in 2005.  DO NOT ADD.",,,,,,,,,,,,,,,,,,,,,,
,Nominal present value of news variable,pdvmil divided by nominal gdp of previous quarter,real gdp,real total consumption,real durable consumption,real nondurable consumption,real services consumption,real fixed investment,real nonresidential fixed investment,real residential investment,real government spending,real federal spending,real defense spending,Real consumer stock of durables,total hours - Household based measure,Military hours,"total population, including armed forces overseas",Real manufacturing product wage,Consumer price index,BAA bond interest rate,Interest rate on 3-month T-bills,Barro-Redlick Avg. marginal tax rate
,,,,,,,,,,,,,,,,,,,,,,
quarter,pdvmil,pdvmily,rgdp,rcons,rcdur,rcnd,rcsv,rinvfx,rnri,rres,rgov,rfed,rdef,kcdur,tothours,milithours,totpop,rwmfg,cpi,BAA,tb3,amtbr
1971.25,0,0.000,34.81,32.07,15.73,43.18,32.27,24.41,20.00,40.33,51.00,61.05,69.47,16.77,156.20,5.05,207260,0.09,40.30,8.61,4.25,0.278
1971.5,0,0.000,35.08,32.32,16.15,43.09,32.57,24.87,20.08,42.32,50.96,60.80,68.08,17.01,156.42,4.93,207881,0.09,40.70,8.70,5.01,0.278
1971.75,0,0.000,35.18,32.86,16.84,43.38,33.09,25.55,20.51,43.96,50.58,58.92,66.14,17.26,158.53,4.71,208555,0.09,41.00,8.41,4.23,0.278
1972,0,0.000,35.81,33.30,17.22,43.53,33.65,26.70,21.20,46.89,50.77,59.16,65.18,17.53,161.05,4.55,209061,0.09,41.33,8.23,3.44,0.289
1972.25,0,0.000,36.66,33.93,17.66,44.70,34.06,27.17,21.55,47.81,51.08,60.10,66.21,17.81,161.32,4.33,209545,0.09,41.60,8.22,3.77,0.289
1972.5,0,0.000,37.01,34.46,18.11,45.32,34.53,27.47,21.89,47.92,50.03,56.86,61.53,18.11,162.45,4.26,210075,0.09,41.93,8.17,4.22,0.289
1972.75,0,0.000,37.62,35.27,19.07,46.18,35.14,28.75,23.03,49.63,50.34,56.67,61.43,18.44,163.11,4.27,210656,0.10,42.37,7.99,4.86,0.289
1973,0,0.000,38.58,35.91,20.28,46.45,35.60,29.96,24.11,51.30,50.84,57.61,62.63,18.82,163.95,4.21,211120,0.09,43.03,7.97,5.70,0.305
1973.25,0,0.000,39.03,35.89,20.04,46.06,35.89,30.22,25.09,48.69,50.54,56.72,61.50,19.19,166.61,4.13,211577,0.09,43.93,8.09,6.60,0.305
1973.5,-5,-0.004,38.82,36.02,19.87,46.28,36.13,30.13,25.51,46.63,49.89,54.31,57.86,19.55,167.74,4.10,212092,0.09,44.80,8.47,8.32,0.305
1973.75,5,0.004,39.19,35.92,19.40,46.09,36.27,29.83,25.71,44.40,50.25,54.35,58.26,19.87,168.73,4.01,212634,0.09,45.93,8.44,7.50,0.305
1974,0,0.000,38.85,35.60,18.95,45.48,36.22,29.13,25.69,41.14,51.31,56.07,59.60,20.14,168.60,3.98,213074,0.09,47.30,8.54,7.62,0.325
1974.25,0,0.000,38.95,35.73,19.05,45.17,36.57,28.71,25.63,39.35,51.65,55.98,60.56,20.37,168.33,3.87,213513,0.09,48.57,9.06,8.15,0.325
1974.5,0,0.000,38.56,35.87,19.16,45.27,36.75,28.20,25.33,38.05,51.73,56.26,59.12,20.58,168.33,3.90,214042,0.08,49.93,9.81,8.19,0.325
1974.75,0,0.000,38.41,35.35,17.34,44.46,37.12,26.60,24.62,33.05,51.91,56.67,59.10,20.76,166.87,3.92,214625,0.08,51.47,10.57,7.36,0.325
1975,0,0.000,37.94,35.64,17.71,44.55,37.47,24.97,23.11,31.00,52.54,56.03,58.65,20.94,163.81,3.87,215065,0.08,52.57,10.65,5.75,0.333
1975.25,0,0.000,38.23,36.24,18.05,45.54,37.93,24.62,22.51,31.67,52.14,55.58,57.74,21.12,163.22,3.84,215523,0.08,53.20,10.63,5.39,0.333
1975.5,0,0.000,38.88,36.75,19.18,45.98,38.11,25.24,22.71,33.88,53.06,56.97,59.93,21.32,163.33,3.79,216195,0.08,54.27,10.58,6.33,0.333
1975.75,0,0.000,39.38,37.14,19.74,45.87,38.65,25.71,22.93,35.36,53.51,57.12,59.81,21.55,165.60,3.77,216771,0.08,55.27,10.58,5.63,0.333
1976,4,0.002,40.28,37.89,20.72,46.80,39.10,26.77,23.34,38.97,53.64,56.59,58.98,21.81,168.47,3.74,217249,0.08,55.90,10.26,4.92,0.340
1976.25,0,0.000,40.58,38.23,20.82,47.52,39.36,27.23,23.62,40.09,53.05,56.47,58.94,22.10,170.43,3.73,217685,0.09,56.40,9.90,5.16,0.340
1976.5,0,0.000,40.78,38.64,21.05,47.88,39.84,27.52,24.14,39.44,52.77,56.31,58.81,22.41,172.33,3.70,218233,0.09,57.30,9.62,5.15,0.340
1976.75,0,0.000,41.08,39.14,21.38,48.39,40.39,28.93,24.62,44.47,52.73,56.45,58.58,22.73,173.81,3.80,218834,0.09,58.13,9.21,4.67,0.340
1977,0,0.000,41.55,39.59,22.17,48.35,40.87,29.98,25.58,45.81,53.21,56.92,59.24,23.07,175.23,3.73,219344,0.09,59.20,9.11,4.63,0.361
1977.25,0,0.000,42.38,39.81,22.69,48.35,41.03,31.65,26.32,51.05,53.76,57.86,60.14,23.42,177.57,3.75,219859,0.09,60.23,9.00,4.84,0.361
1977.5,-5,-0.002,43.14,40.19,23.03,48.59,41.47,32.06,26.87,50.89,53.86,58.19,60.17,23.78,179.57,3.74,220458,0.09,61.07,8.83,5.50,0.361
1977.75,0,0.000,43.13,40.79,23.51,49.63,41.87,32.64,27.77,50.22,53.69,57.62,58.51,24.14,180.84,3.71,221109,0.09,61.97,8.94,6.11,0.361
1978,0,0.000,43.28,41.03,22.89,49.85,42.54,32.91,28.04,50.47,53.78,57.82,58.88,24.49,182.46,3.69,221629,0.09,63.03,9.20,6.39,0.369
1978.25,0,0.000,44.98,41.91,24.59,50.23,43.18,35.30,30.41,52.89,55.23,59.20,60.20,24.87,187.59,3.78,222176,0.09,64.47,9.47,6.48,0.369
1978.5,0,0.000,45.42,42.09,24.26,50.62,43.49,36.32,31.49,53.63,55.67,59.41,60.37,25.24,188.43,3.70,222805,0.09,65.97,9.50,7.31,0.369
1978.75,0,0.000,46.02,42.42,24.45,51.27,43.72,37.09,32.53,53.44,56.17,59.93,60.63,25.60,190.23,3.76,223477,0.09,67.50,9.79,8.57,0.369
1979,11,0.005,46.10,42.64,24.16,51.50,44.16,37.37,33.24,52.19,55.67,60.01,60.93,25.95,191.07,3.66,224053,0.09,69.20,10.16,9.38,0.384
1979.25,0,0.000,46.14,42.61,23.62,51.40,44.44,37.08,33.14,51.21,56.26,60.76,62.16,26.27,192.34,3.57,224632,0.09,71.40,10.39,9.38,0.384
1979.5,0,0.000,46.47,43.03,24.27,52.00,44.62,37.76,34.17,50.61,56.34,60.66,61.97,26.56,193.72,3.67,225295,0.09,73.70,10.39,9.67,0.384
1979.75,0,0.000,46.60,43.15,23.65,52.28,45.00,37.40,34.26,48.69,56.70,60.65,62.32,26.80,194.35,3.66,226027,0.08,76.03,11.82,11.84,0.384
1980,169.1,0.064,46.75,43.07,23.28,52.25,45.05,36.88,34.63,44.97,57.62,62.59,64.15,26.97,193.17,3.66,226656,0.08,79.03,13.48,13.35,0.400
1980.25,0,0.000,45.79,42.09,20.77,51.54,44.75,33.67,32.88,36.65,57.80,64.16,64.31,27.09,189.06,3.64,227251,0.08,81.70,13.36,9.62,0.400
1980.5,0,0.000,45.71,42.55,21.69,51.42,45.24,34.00,33.12,37.28,57.00,63.30,64.43,27.19,189.46,3.67,227953,0.08,83.23,13.17,9.15,0.400
1980.75,0,0.000,46.55,43.11,22.35,51.62,45.92,35.35,33.82,40.92,56.94,63.51,65.28,27.30,191.67,3.69,228612,0.08,85.57,14.67,13.61,0.400
1981,74.5,0.026,47.52,43.35,22.98,52.07,45.84,35.61,34.37,40.19,57.70,64.83,66.51,27.43,194.02,3.69,229071,0.08,87.93,15.25,14.39,0.418
1981.25,0,0.000,47.14,43.35,22.09,52.30,46.14,35.85,35.06,38.82,57.83,66.76,68.52,27.56,194.00,3.64,229575,0.08,89.77,15.77,14.91,0.418
1981.5,0,0.000,47.71,43.52,22.76,52.42,46.10,35.85,35.91,35.83,57.69,66.69,69.11,27.70,192.99,3.57,230187,0.08,92.27,16.48,15.05,0.418
1981.75,0,0.000,47.12,43.19,21.13,52.62,46.14,35.72,36.78,32.16,58.23,67.40,70.37,27.81,191.82,3.74,230822,0.08,93.77,16.68,11.75,0.418
1982,0,0.000,46.35,43.47,21.80,52.72,46.31,34.64,35.91,30.31,58.17,67.51,71.16,27.91,188.66,3.70,231313,0.08,94.60,17.03,12.81,0.404
1982.25,0,0.000,46.60,43.63,21.88,52.63,46.61,33.43,34.62,29.35,58.51,68.12,73.14,28.00,189.78,3.82,231809,0.09,95.97,16.78,12.42,0.404
1982.5,0,0.000,46.42,43.96,22.06,52.85,47.05,32.49,33.45,29.26,58.91,69.14,74.41,28.12,189.23,3.78,232392,0.09,97.63,16.25,9.32,0.404
1982.75,0,0.000,46.45,44.77,23.07,53.39,47.84,32.44,32.78,31.40,59.92,71.19,76.54,28.28,188.27,3.78,232993,0.09,97.93,14.39,7.91,0.404
1983,0,0.000,47.03,45.20,23.30,53.57,48.46,33.15,32.17,36.75,60.37,72.04,77.00,28.51,189.50,3.85,233473,0.09,98.00,13.83,8.11,0.391
1983.25,0,0.000,48.09,46.10,25.00,54.20,49.08,34.43,32.56,41.10,60.89,73.57,78.78,28.81,191.43,3.88,233922,0.09,99.13,13.25,8.40,0.391
1983.5,0,0.000,49.04,46.92,25.96,55.02,49.79,36.49,34.03,45.17,61.95,75.64,79.31,29.18,195.37,3.84,234501,0.09,100.10,13.53,9.14,0.391
1983.75,0,0.000,50.05,47.66,27.24,55.69,50.29,38.63,36.24,47.08,60.90,72.99,81.36,29.60,197.94,3.83,235078,0.09,101.10,13.61,8.80,0.391
1984,0,0.000,51.02,48.07,28.27,55.83,50.54,39.84,37.42,48.39,61.51,73.61,81.61,30.06,201.19,3.89,235527,0.09,102.53,13.74,9.17,0.393
1984.25,0,0.000,51.90,48.76,28.92,57.05,50.97,41.48,39.28,49.29,62.84,75.92,82.48,30.56,204.69,3.98,235993,0.09,103.50,14.70,9.80,0.393
1984.5,0,0.000,52.41,49.13,28.93,57.10,51.63,42.36,40.57,48.81,63.30,75.63,82.15,31.07,205.75,3.97,236549,0.09,104.40,14.71,10.32,0.393
1984.75,0,0.000,52.83,49.78,29.87,57.54,52.22,43.12,41.55,48.86,64.66,78.14,85.65,31.60,206.43,3.91,237159,0.09,105.30,13.61,8.80,0.393
1985,0,0.000,53.33,50.62,30.91,57.89,53.16,43.45,42.03,48.71,65.40,78.98,86.24,32.15,208.04,3.90,237602,0.09,106.27,13.39,8.18,0.399
1985.25,0,0.000,53.78,51.09,31.28,58.34,53.65,44.00,42.63,49.10,66.87,80.90,88.73,32.71,208.47,3.94,238074,0.09,107.23,13.02,7.46,0.399
1985.5,0,0.000,54.62,52.06,33.28,58.82,54.37,43.65,41.98,49.73,68.60,83.62,92.31,33.32,210.00,3.98,238679,0.09,107.90,12.47,7.11,0.399
1985.75,0,0.000,55.04,52.17,32.13,59.34,54.81,44.47,42.70,50.91,69.01,83.59,92.73,33.91,212.46,4.01,239307,0.09,109.00,11.98,7.17,0.399
1986,0,0.000,55.57,52.61,32.79,60.10,55.00,44.53,42.11,53.08,69.76,83.14,92.00,34.53,213.21,3.93,239788,0.10,109.57,11.02,6.90,0.401
1986.25,0,0.000,55.79,53.17,33.95,60.63,55.31,44.43,41.06,56.03,71.24,85.79,95.47,35.18,214.38,4.05,240271,0.10,109.03,10.27,6.14,0.401
1986.5,0,0.000,56.33,54.10,36.84,60.76,55.75,44.18,40.46,56.89,72.85,89.04,99.19,35.89,215.55,3.96,240854,0.10,109.70,10.18,5.52,0.401
1986.75,-89.4,-0.020,56.60,54.42,36.26,61.25,56.35,44.47,40.87,56.79,72.44,87.66,96.41,36.56,217.57,4.01,241467,0.10,110.47,10.09,5.35,0.401
1987,0,0.000,56.91,54.34,34.11,61.33,57.02,43.59,39.75,56.64,72.73,88.18,97.83,37.16,219.75,4.04,241930,0.10,111.80,9.66,5.54,0.375
1987.25,0,0.000,57.52,55.07,35.51,61.80,57.56,44.37,40.70,56.89,73.19,89.40,100.18,37.76,221.39,3.94,242423,0.10,113.07,10.36,5.66,0.375
1987.5,0,0.000,58.02,55.68,36.97,61.85,58.05,45.31,42.01,56.72,73.19,89.50,101.67,38.37,222.60,3.88,243012,0.10,114.27,10.91,6.04,0.375
1987.75,0,0.000,59.01,55.81,35.98,61.93,58.64,45.31,41.92,57.00,74.08,90.83,101.52,38.96,224.07,4.01,243639,0.10,115.33,11.38,5.86,0.375
1988,-242,-0.050,59.32,56.75,37.68,62.59,59.35,45.25,42.24,55.76,73.72,88.36,100.43,39.57,225.61,4.01,244131,0.10,116.23,10.75,5.72,0.356
1988.25,0,0.000,60.08,57.16,37.69,63.09,59.87,46.13,43.28,56.21,73.91,87.46,99.58,40.19,227.50,3.99,244610,0.10,117.57,10.98,6.21,0.356
1988.5,0,0.000,60.39,57.61,37.20,63.53,60.66,46.31,43.50,56.24,73.87,86.81,98.61,40.78,227.87,3.95,245240,0.10,119.00,11.07,7.01,0.356
1988.75,-58.8,-0.011,61.20,58.29,38.16,64.19,61.21,46.78,43.96,56.73,75.37,89.41,100.69,41.38,229.54,3.93,245884,0.10,120.30,10.51,7.73,0.356
1989,0,0.000,61.77,58.50,37.99,64.48,61.53,47.24,44.71,56.36,74.91,87.58,97.43,41.95,230.96,3.93,246378,0.10,121.67,10.64,8.54,0.360
1989.25,0,0.000,62.23,58.76,38.50,64.58,61.76,47.31,45.34,54.69,76.07,89.55,99.50,42.51,231.69,3.98,246906,0.09,123.63,10.37,8.41,0.360
1989.5,0,0.000,62.73,59.37,39.37,65.23,62.23,48.13,46.64,54.10,76.79,90.42,100.71,43.07,233.03,3.93,247573,0.09,124.60,9.89,7.84,0.360
1989.75,-507.6,-0.092,62.86,59.66,38.18,65.96,62.88,47.34,45.95,52.96,77.19,89.96,99.70,43.58,234.72,4.04,248281,0.09,125.87,9.81,7.65,0.360
1990,0,0.000,63.52,60.14,39.79,65.88,63.15,47.93,46.56,53.50,78.39,91.31,99.92,44.11,235.71,3.90,248827,0.09,128.03,10.10,7.76,0.362
1990.25,0,0.000,63.77,60.33,38.47,65.95,63.94,46.82,45.76,51.44,78.50,91.42,99.64,44.58,236.07,3.76,249565,0.10,129.30,10.31,7.75,0.362
1990.5,0,0.000,63.77,60.56,38.08,66.06,64.43,46.31,46.05,48.52,78.48,90.61,97.93,44.99,235.80,3.86,250439,0.09,131.53,10.42,7.48,0.362
1990.75,112.1,0.019,63.21,60.09,37.03,65.40,64.25,44.99,45.17,45.83,79.26,91.40,99.73,45.34,234.13,3.83,251346,0.09,133.77,10.60,6.99,0.362
1991,0,0.000,62.91,59.92,36.01,65.43,64.30,43.45,44.00,43.11,79.58,92.11,100.59,45.59,232.04,3.83,252135,0.09,134.77,10.20,6.02,0.371
1991.25,0,0.000,63.33,60.38,36.19,65.81,64.86,43.39,43.58,44.12,79.86,92.37,100.32,45.80,231.52,3.80,252913,0.10,135.57,9.92,5.56,0.371
1991.5,0,0.000,63.60,60.61,36.75,65.92,65.03,43.53,43.17,45.95,79.48,90.65,97.63,46.00,231.44,3.75,253807,0.10,136.60,9.68,5.38,0.371
1991.75,-112.1,-0.019,63.85,60.58,36.15,65.36,65.41,43.61,42.94,46.96,79.14,88.87,94.31,46.20,231.89,3.67,254718,0.10,137.73,9.40,4.54,0.371
1992,0,0.000,64.55,61.62,37.57,66.33,66.33,44.07,42.75,49.36,79.75,88.90,92.84,46.46,233.16,3.62,255448,0.10,138.67,9.20,3.89,0.369
1992.25,0,0.000,65.23,61.99,37.83,66.61,66.75,45.80,44.45,51.24,79.65,88.81,92.91,46.75,233.55,3.55,256285,0.10,139.73,9.13,3.68,0.369
1992.5,0,0.000,65.91,62.67,38.64,67.00,67.49,46.49,45.34,51.36,80.06,89.82,94.19,47.08,233.26,3.42,257232,0.10,140.80,8.70,3.08,0.369
1992.75,0,0.000,66.60,63.44,39.41,67.68,68.28,47.94,46.71,53.11,80.08,89.87,93.46,47.43,233.68,3.34,258147,0.10,142.03,8.87,3.07,0.369
1993,0,0.000,66.72,63.70,39.79,67.74,68.56,48.22,47.00,53.35,79.24,87.11,89.79,47.79,235.35,3.30,258919,0.10,143.07,8.40,2.96,0.379
1993.25,0,0.000,67.15,64.31,41.08,68.28,68.96,49.30,48.26,53.98,79.18,85.88,88.46,48.18,236.05,3.29,259680,0.10,144.10,8.14,2.97,0.379
1993.5,0,0.000,67.50,65.00,41.54,68.96,69.73,50.17,48.79,55.84,79.10,84.97,87.26,48.58,237.71,3.18,260566,0.10,144.77,7.62,3.00,0.379
1993.75,0,0.000,68.39,65.58,42.54,69.44,70.20,52.40,50.84,58.65,79.49,85.42,88.10,49.02,239.93,3.15,261425,0.10,145.97,7.55,3.06,0.379
1994,0,0.000,69.06,66.31,43.55,70.37,70.75,53.10,51.35,59.90,78.48,82.36,83.68,49.49,238.66,3.14,262123,0.10,146.70,7.85,3.24,0.385
1994.25,0,0.000,70.00,66.81,44.02,70.92,71.21,54.38,52.38,61.88,78.81,81.89,83.73,49.98,242.57,3.10,262877,0.10,147.53,8.60,3.99,0.385
1994.5,0,0.000,70.45,67.34,44.48,71.53,71.73,54.92,53.37,61.20,80.19,84.14,86.48,50.48,243.65,3.05,263724,0.10,148.90,8.84,4.48,0.385
1994.75,0,0.000,71.24,68.00,46.05,72.29,72.05,56.42,55.73,60.40,79.50,81.83,82.40,50.99,244.62,2.97,264559,0.10,149.77,9.21,5.28,0.385
1995,0,0.000,71.41,68.08,45.09,72.55,72.39,57.71,58.01,59.06,79.82,81.63,82.17,51.49,246.85,2.98,265270,0.10,150.87,8.88,5.74,0.386
1995.25,0,0.000,71.57,68.64,45.55,72.91,73.05,57.49,58.41,57.16,80.08,81.31,82.03,51.98,247.47,2.94,265998,0.10,152.10,8.23,5.60,0.386
1995.5,0,0.000,72.17,69.26,46.84,73.17,73.57,58.25,58.80,58.93,79.91,80.75,81.05,52.49,247.56,2.91,266843,0.10,152.87,8.05,5.37,0.386
1995.75,0,0.000,72.67,69.74,47.65,73.55,73.99,59.46,59.98,60.27,79.01,77.72,78.50,53.01,248.24,2.84,267715,0.10,153.70,7.64,5.26,0.386
1996,0,0.000,73.17,70.38,48.17,74.02,74.71,60.96,61.47,61.85,79.52,79.34,80.03,53.56,244.77,2.74,268364,0.10,155.07,7.71,4.93,0.385
1996.25,0,0.000,74.43,71.18,49.70,74.97,75.21,62.95,63.24,64.46,80.66,80.47,81.12,54.14,247.99,2.81,269108,0.10,156.40,8.30,5.02,0.385
1996.5,0,0.000,75.08,71.60,50.05,75.51,75.61,64.40,65.35,64.28,80.58,79.05,79.40,54.73,252.41,2.82,269976,0.10,157.30,8.29,5.10,0.385
1996.75,0,0.000,75.90,72.19,51.03,76.12,76.05,65.48,67.11,63.62,81.27,78.83,78.89,55.35,254.26,2.82,270878,0.10,158.67,7.92,4.98,0.385
1997,0,0.000,76.48,72.91,52.41,76.58,76.67,66.76,68.83,63.84,81.41,77.76,76.35,55.99,254.74,2.75,271585,0.10,159.63,8.07,5.06,0.386
1997.25,0,0.000,77.62,73.21,52.24,76.62,77.19,68.20,70.53,64.64,82.12,79.14,78.15,56.63,257.16,2.74,272342,0.10,160.00,8.19,5.05,0.386
1997.5,0,0.000,78.59,74.45,54.57,77.86,78.11,70.82,74.13,64.94,82.21,78.88,77.77,57.33,258.02,2.74,273237,0.10,160.80,7.76,5.05,0.386
1997.75,0,0.000,79.19,75.31,55.96,78.40,78.90,71.43,74.73,65.61,82.34,78.78,78.20,58.08,259.19,2.73,274126,0.10,161.67,7.44,5.09,0.386
1998,0,0.000,79.94,76.05,56.43,78.98,79.78,73.58,77.31,66.78,81.85,76.32,73.54,58.87,260.85,2.73,274838,0.11,162.00,7.25,5.05,0.387
1998.25,0,0.000,80.66,77.36,59.31,79.96,80.76,76.15,80.14,68.78,83.63,78.42,76.36,59.74,261.86,2.69,275564,0.11,162.53,7.25,4.98,0.387
1998.5,0,0.000,81.73,78.39,61.02,80.55,81.74,77.60,81.35,70.85,84.40,77.77,77.31,60.68,262.94,2.67,276418,0.11,163.37,7.13,4.82,0.387
1998.75,0,0.000,83.14,79.59,64.64,81.65,82.31,79.97,84.03,72.54,85.16,78.53,76.70,61.72,264.27,2.66,277277,0.11,164.13,7.25,4.25,0.387
1999,15,0.002,83.88,80.38,64.80,83.16,83.00,81.45,85.98,72.98,85.59,78.01,75.77,62.81,265.04,2.64,277992,0.11,164.73,7.40,4.41,0.390
1999.25,0,0.000,84.54,81.64,67.92,83.94,83.94,83.36,88.39,73.76,85.95,78.01,75.81,63.98,265.83,2.66,278717,0.11,165.97,7.74,4.45,0.390
1999.5,0,0.000,85.61,82.62,69.58,84.34,84.95,85.30,90.93,74.37,87.06,79.65,78.06,65.21,265.15,2.61,279602,0.11,167.20,8.10,4.65,0.390
1999.75,0,0.000,87.15,83.79,70.44,86.07,85.99,85.78,91.22,75.28,88.44,81.42,79.90,66.47,268.79,2.61,280471,0.11,168.43,8.24,5.04,0.390
2000,0,0.000,87.38,85.06,74.40,85.32,87.29,88.29,94.61,75.87,87.71,78.19,75.18,67.80,273.56,2.63,281190,0.11,170.10,8.33,5.52,0.392
2000.25,0,0.000,89.08,85.86,73.06,87.03,88.30,90.51,98.10,75.36,88.88,81.32,78.65,69.11,273.46,2.63,281877,0.11,171.43,8.59,5.71,0.392
2000.5,0,0.000,89.16,86.70,74.33,87.62,89.12,90.82,99.18,74.03,88.60,79.75,77.03,70.42,273.57,2.63,282649,0.11,173.00,8.32,6.02,0.392
2000.75,0,0.000,89.68,87.47,74.87,88.48,89.90,91.10,99.57,74.10,88.87,79.38,77.09,71.73,274.20,2.65,283439,0.11,174.23,8.21,6.02,0.392
2001,0,0.000,89.39,87.81,76.14,87.96,90.33,90.55,98.62,74.44,90.19,81.07,78.45,73.03,273.19,2.65,284113,0.11,175.90,7.88,4.82,0.385
2001.25,0,0.000,89.97,88.15,76.11,88.38,90.71,89.14,96.03,75.48,92.06,82.81,79.54,74.32,271.96,2.64,284775,0.11,177.13,8.04,3.66,0.385
2001.5,97.1,0.009,89.73,88.53,77.03,88.81,90.95,88.20,94.45,75.89,91.89,83.36,80.27,75.61,270.54,2.66,285526,0.11,177.63,7.95,3.17,0.385
2001.75,0,0.000,90.04,89.92,83.50,89.58,91.36,85.99,91.45,75.25,93.53,84.37,81.37,77.01,268.97,2.67,286288,0.11,177.50,7.92,1.91,0.385
2002,296.3,0.029,90.82,90.23,82.54,89.94,91.95,85.23,89.32,77.25,94.96,86.38,83.13,78.40,268.99,2.66,286931,0.11,178.07,7.96,1.72,0.380
2002.25,0,0.000,91.30,90.69,83.41,90.06,92.44,84.89,87.87,79.15,95.87,88.37,85.04,79.81,269.61,2.71,287552,0.11,179.47,8.02,1.72,0.380
2002.5,93,0.009,91.76,91.30,85.85,90.31,92.76,84.74,87.42,79.61,96.65,89.77,86.48,81.25,270.30,2.73,288279,0.11,180.43,7.63,1.64,0.380
2002.75,0,0.000,91.78,91.63,84.72,91.46,93.13,84.05,85.77,80.83,97.29,91.29,88.48,82.65,269.52,2.72,289016,0.11,181.50,7.60,1.33,0.380
2003,123.8,0.011,92.15,92.10,84.80,92.44,93.50,84.07,85.39,81.61,97.09,91.32,87.79,84.03,270.73,2.71,289614,0.11,183.37,7.12,1.16,0.359
2003.25,0,0.000,92.88,92.96,88.12,92.86,93.97,86.22,87.68,83.47,98.53,95.72,95.19,85.44,270.80,2.72,290237,0.12,183.07,6.47,1.04,0.359
2003.5,41,0.004,94.44,94.25,91.65,94.69,94.61,88.99,89.68,87.72,98.82,95.81,94.07,86.89,270.44,2.72,290953,0.12,184.43,6.81,0.93,0.359
2003.75,78.2,0.007,95.29,94.77,92.24,95.07,95.17,90.58,90.85,90.10,98.90,96.51,95.93,88.33,272.33,2.73,291679,0.12,185.13,6.66,0.92,0.359
2004,0,0.000,95.96,95.68,93.27,95.96,96.05,90.40,90.12,90.90,99.37,97.75,97.36,89.78,273.82,2.75,292230,0.11,186.70,6.27,0.92,0.358
2004.25,25,0.002,96.64,96.19,93.92,96.22,96.63,93.19,92.56,94.32,99.73,98.30,97.87,91.23,272.91,2.74,292850,0.11,188.17,6.66,1.08,0.358
2004.5,0,0.000,97.35,97.02,95.77,96.92,97.29,95.17,95.10,95.28,100.09,100.01,100.71,92.70,274.46,2.70,293562,0.11,189.37,6.45,1.49,0.358
2004.75,0,0.000,98.20,98.13,97.34,97.93,98.36,96.78,97.20,96.03,99.48,98.78,98.20,94.17,276.21,2.67,294300,0.11,191.40,6.19,2.01,0.358
2005,100,0.008,99.18,98.87,97.99,99.05,98.98,97.97,98.09,97.77,99.58,99.19,99.07,95.64,277.37,2.68,294928,0.11,192.43,5.97,2.54,0.351
2005.25,0,0.000,99.60,99.82,100.73,99.65,99.70,99.70,99.52,100.05,99.69,99.29,99.83,97.13,279.58,2.64,295518,0.11,193.63,5.97,2.86,0.351
2005.5,0,0.000,100.35,100.53,101.92,100.17,100.38,100.98,100.92,101.07,100.59,101.61,102.49,98.60,281.31,2.63,296244,0.11,196.47,5.98,3.36,0.351
2005.75,0,0.000,100.87,100.79,99.36,101.13,100.94,101.35,101.48,101.11,100.15,99.92,98.61,100.00,281.81,2.60,297001,0.11,198.63,6.34,3.83,0.351
2006,0,0.000,102.20,101.90,103.33,101.79,101.67,103.67,105.76,100.03,101.15,102.76,101.12,101.42,283.47,2.63,297640,0.11,199.57,6.31,4.39,0.353
2006.25,227.7,0.017,102.56,102.45,103.06,102.19,102.42,103.19,107.64,95.50,101.23,101.89,101.38,102.80,285.37,2.61,298273,0.11,201.23,6.74,4.70,0.353
2006.5,0,0.000,102.59,103.08,104.22,102.85,102.95,101.88,108.81,89.99,101.39,101.79,100.89,104.19,286.95,2.61,299029,0.11,203.03,6.59,4.91,0.353
2006.75,0,0.000,103.34,104.11,105.65,104.38,103.73,100.50,109.44,85.19,101.67,102.07,102.96,105.61,288.89,2.63,299848,0.11,202.50,6.28,4.90,0.353
2007,0,0.000,103.65,105.06,107.07,105.18,104.64,99.84,110.56,81.52,101.67,100.74,100.95,107.07,287.70,2.59,300535,0.11,204.43,6.30,4.98,0.353
2007.25,0,0.000,104.48,105.36,107.63,104.96,105.07,100.73,113.58,78.76,102.76,102.56,103.06,108.51,287.15,2.61,301200,0.11,206.54,6.49,4.74,0.353
2007.5,0,0.000,105.40,105.86,109.00,105.51,105.40,100.63,116.22,73.93,103.76,104.87,105.55,109.88,288.38,2.61,301967,0.11,207.75,6.63,4.30,0.353
2007.75,739.3,0.052,105.96,106.18,110.46,105.97,105.48,99.56,118.11,67.75,104.17,105.57,105.67,111.14,290.13,2.63,302754,0.10,210.68,6.51,3.39,0.353
2008,0,0.000,105.76,106.02,107.93,105.17,105.95,97.97,118.67,62.36,104.85,107.65,107.76,112.17,288.39,2.62,303399,0.10,213.01,6.75,2.04,0.353
2008.25,0,0.000,106.15,106.03,106.35,105.74,106.05,97.29,119.08,59.74,105.78,109.70,109.60,113.06,287.82,2.65,304006,0.10,215.36,6.99,1.63,0.353
2008.5,0,0.000,105.43,105.09,103.08,104.22,105.70,95.20,117.21,57.21,107.04,113.15,114.67,113.83,284.63,2.65,304733,0.10,218.62,7.21,1.49,0.353
