"Note: In Ramey's regressions, all GDP and hours variables were entered as log(x/totpop). ",,,,,,,,,,
"Real GDP and its components are indexes, equal to 100 in 2005.  DO NOT ADD.",,,,,,,,,,
,Ramey-Shapiro military date,Real gdp,Real nondurable + services consumption,Real fixed investment,Real government spending,Real federal spending,Real defense spending,Total hours - Establishment based measures,Total population,Barro-Redlick Avg. Marginal Tax Rate
,,,,,,,,,,
,,,,,,,,,,
quarter,war,rgdp,rcndsv,rinvfx,rgov,rfed,rdef,tothoursces,totpop,amtbr
1963.75,0,25.834,26.09043826,17.155,42.61,60.783,72.52,138.438,190265,0.280
1964,0,26.414,26.52471622,17.809,42.768,60.473,71.463,139.383,190858,0.253
1964.25,0,26.717,26.95397686,17.761,43.045,60.07,70.08,140.920,191447,0.253
1964.5,0,27.08,27.38077264,18.045,43.071,59.598,69.847,141.607,192131,0.253
1964.75,0,27.155,27.61656778,18.177,42.947,58.76,68.412,142.592,192847,0.253
1965,1,27.822,27.91145391,19.005,42.843,58.02,66.894,144.324,193393,0.244
1965.25,0,28.2,28.26302455,19.537,43.396,58.132,66.584,145.879,193888,0.244
1965.5,0,28.772,28.66596927,20.066,44.897,60.48,68.92,146.013,194528,0.244
1965.75,0,29.466,29.39227377,20.517,45.862,62.158,71.525,147.692,195195,0.244
1966,0,30.189,29.66099838,21.284,46.687,63.579,74.143,149.685,195688,0.251
1966.25,0,30.29,29.96704749,21.009,47.514,65.262,75.702,150.835,196178,0.251
1966.5,0,30.489,30.20434174,21.002,48.8,67.904,80.666,151.689,196762,0.251
1966.75,0,30.736,30.35435466,20.365,49.594,68.469,82.713,152.126,197398,0.251
1967,0,31.007,30.65906939,19.887,51.699,73.163,87.664,152.710,197892,0.256
1967.25,0,31.013,30.92223044,20.396,51.418,72.103,87.721,151.888,198363,0.256
1967.5,0,31.261,31.15475727,20.596,51.953,73.249,89.921,152.822,198911,0.256
1967.75,0,31.499,31.36464007,21.239,52.307,73.097,88.963,153.588,199498,0.256
1968,0,32.148,31.90981007,21.751,53.22,74.368,91.161,153.889,199920,0.286
1968.25,0,32.694,32.36811527,21.64,53.466,73.771,91.079,155.167,200361,0.286
1968.5,0,32.918,32.81733883,21.959,53.578,73.136,89.282,156.198,200898,0.286
1968.75,0,33.06,33.03563415,22.499,53.622,72.689,88.483,156.811,201466,0.286
1969,0,33.581,33.35958727,23.208,53.674,72.285,87.542,158.767,201881,0.298
1969.25,0,33.679,33.62667879,23.31,53.45,71.132,85.578,159.220,202331,0.298
1969.5,0,33.892,33.83950939,23.698,53.525,71.182,85.448,159.807,202877,0.298
1969.75,0,33.733,34.17349617,23.099,52.739,69.277,83.658,159.409,203500,0.298
1970,0,33.68,34.51334514,23.016,52.455,67.908,81.434,158.214,204008,0.286
1970.25,0,33.741,34.62987221,22.505,51.777,65.781,77.587,157.089,204607,0.286
1970.5,0,34.041,34.9661373,22.905,52.001,64.808,76.38,155.755,205295,0.286
1970.75,0,33.68,35.23883369,22.927,52.002,64.455,75.8,154.983,206024,0.286
1971,0,34.609,35.43508834,23.44,51.16,61.946,72.237,155.361,206668,0.278
1971.25,0,34.805,35.67874068,24.41,50.996,61.053,69.47,155.816,207260,0.278
1971.5,0,35.083,35.85229307,24.872,50.964,60.796,68.079,155.642,207881,0.278
1971.75,0,35.181,36.29054971,25.551,50.584,58.915,66.136,156.471,208555,0.278
1972,0,35.81,36.70772746,26.7,50.768,59.155,65.182,158.846,209061,0.289
1972.25,0,36.659,37.37170609,27.17,51.083,60.101,66.208,159.507,209545,0.289
1972.5,0,37.01,37.88668075,27.47,50.03,56.86,61.528,160.506,210075,0.289
1972.75,0,37.62,38.57871604,28.748,50.344,56.673,61.434,161.623,210656,0.289
1973,0,38.582,38.97386197,29.962,50.839,57.611,62.627,163.460,211120,0.305
1973.25,0,39.029,39.03897452,30.222,50.536,56.718,61.504,165.008,211577,0.305
1973.5,0,38.82,39.26838085,30.134,49.887,54.311,57.856,165.982,212092,0.305
1973.75,0,39.191,39.30106927,29.831,50.254,54.354,58.257,166.502,212634,0.305
1974,0,38.847,39.05694384,29.126,51.305,56.066,59.601,166.782,213074,0.325
1974.25,0,38.946,39.1747045,28.707,51.651,55.977,60.56,166.099,213513,0.325
1974.5,0,38.561,39.32427313,28.202,51.728,56.258,59.117,166.037,214042,0.325
1974.75,0,38.41,39.27640253,26.603,51.908,56.671,59.101,164.449,214625,0.325
1975,0,37.942,39.52462043,24.973,52.544,56.034,58.647,160.714,215065,0.333
1975.25,0,38.232,40.16150083,24.623,52.14,55.584,57.741,159.896,215523,0.333
1975.5,0,38.876,40.43802312,25.237,53.057,56.97,59.928,160.859,216195,0.333
1975.75,0,39.384,40.74153375,25.709,53.507,57.115,59.805,162.893,216771,0.333
1976,0,40.279,41.34995683,26.774,53.64,56.588,58.981,164.851,217249,0.340
1976.25,0,40.582,41.76980162,27.231,53.052,56.466,58.94,165.189,217685,0.340
1976.5,0,40.781,42.20374417,27.517,52.773,56.306,58.813,165.894,218233,0.340
1976.75,0,41.077,42.73293543,28.932,52.732,56.45,58.578,167.084,218834,0.340
1977,0,41.554,43.04065298,29.978,53.21,56.919,59.235,167.938,219344,0.361
1977.25,0,42.38,43.13924256,31.651,53.763,57.857,60.138,171.236,219859,0.361
1977.5,0,43.138,43.51304676,32.061,53.861,58.191,60.167,172.793,220458,0.361
1977.75,0,43.129,44.12347033,32.639,53.688,57.621,58.505,174.386,221109,0.361
1978,0,43.276,44.63285406,32.913,53.775,57.823,58.876,175.035,221629,0.369
1978.25,0,44.979,45.18242124,35.302,55.227,59.202,60.203,180.028,222176,0.369
1978.5,0,45.42,45.51634302,36.316,55.667,59.411,60.365,180.766,222805,0.369
1978.75,0,46.02,45.88403622,37.091,56.172,59.932,60.633,182.823,223477,0.369
1979,0,46.097,46.25107613,37.373,55.667,60.013,60.931,183.289,224053,0.384
1979.25,0,46.141,46.39823311,37.083,56.255,60.755,62.156,183.097,224632,0.384
1979.5,0,46.472,46.71700299,37.756,56.337,60.661,61.972,185.591,225295,0.384
1979.75,0,46.6,47.06545788,37.404,56.704,60.647,62.32,186.112,226027,0.384
1980,1,46.75,47.08968068,36.875,57.616,62.588,64.154,185.496,226656,0.400
1980.25,0,45.792,46.65115393,33.668,57.795,64.162,64.308,183.232,227251,0.400
1980.5,0,45.707,46.93254054,34,56.998,63.297,64.427,182.669,227953,0.400
1980.75,0,46.552,47.44174715,35.351,56.94,63.511,65.275,184.628,228612,0.400
1981,0,47.52,47.47742272,35.61,57.696,64.826,66.514,185.265,229071,0.418
1981.25,0,47.141,47.7538296,35.845,57.825,66.761,68.523,184.287,229575,0.418
1981.5,0,47.713,47.7683595,35.849,57.694,66.689,69.108,183.531,230187,0.418
1981.75,0,47.119,47.85860947,35.718,58.225,67.403,70.367,184.493,230822,0.418
1982,0,46.346,48.00887672,34.636,58.167,67.508,71.161,181.600,231313,0.404
1982.25,0,46.597,48.17711187,33.425,58.506,68.12,73.141,182.902,231809,0.404
1982.5,0,46.417,48.54410851,32.494,58.906,69.141,74.413,181.595,232392,0.404
