quarter,govdef_owid,govdef_fred,govdef_spliced
1890.0,0.01461386436113069,,0.01461386436113069
1890.25,0.01662187929361509,,0.01662187929361509
1890.5,0.018956015338084588,,0.018956015338084588
1890.75,0.018993334807169606,,0.018993334807169606
1891.0,0.018745958636496723,,0.018745958636496723
1891.25,0.021588112494928625,,0.021588112494928625
1891.5,0.016133651401852373,,0.016133651401852373
1891.75,0.018640987185222276,,0.018640987185222276
1892.0,0.017978633711036685,,0.017978633711036685
1892.25,0.01924900728720531,,0.01924900728720531
1892.5,0.017569587616774168,,0.017569587616774168
1892.75,0.01823718970298385,,0.01823718970298385
1893.0,0.02154988551734916,,0.02154988551734916
1893.25,0.020877714254363362,,0.020877714254363362
1893.5,0.019480037374562997,,0.019480037374562997
1893.75,0.019496912474474482,,0.019496912474474482
1894.0,0.018237153553870886,,0.018237153553870886
1894.25,0.018928491901136508,,0.018928491901136508
1894.5,0.019182322632136956,,0.019182322632136956
1894.75,0.018754083236855647,,0.018754083236855647
1895.0,0.018157715905019772,,0.018157715905019772
1895.25,0.018476836471579054,,0.018476836471579054
1895.5,0.018505815700720372,,0.018505815700720372
1895.75,0.018444249031930798,,0.018444249031930798
1896.0,0.019103925284414007,,0.019103925284414007
1896.25,0.01872315860596603,,0.01872315860596603
1896.5,0.020305620648769694,,0.020305620648769694
1896.75,0.020563443499600247,,0.020563443499600247
1897.0,0.03626867165216308,,0.03626867165216308
1897.25,0.035732866728476136,,0.035732866728476136
1897.5,0.03735637965226684,,0.03735637965226684
1897.75,0.03554387176084394,,0.03554387176084394
1898.0,0.05169017326764429,,0.05169017326764429
1898.25,0.07111256692341072,,0.07111256692341072
1898.5,0.07554201623741165,,0.07554201623741165
1898.75,0.06777125099903329,,0.06777125099903329
1899.0,0.04571925918459884,,0.04571925918459884
1899.25,0.04656750046509547,,0.04656750046509547
1899.5,0.04227330585287016,,0.04227330585287016
1899.75,0.0435327700349355,,0.0435327700349355
1900.0,0.04268813101656351,,0.04268813101656351
1900.25,0.04573490653619527,,0.04573490653619527
1900.5,0.049957255234236934,,0.049957255234236934
1900.75,0.05058971627800428,,0.05058971627800428
1901.0,0.04411855441069784,,0.04411855441069784
1901.25,0.04370570059464338,,0.04370570059464338
1901.5,0.040394928676534006,,0.040394928676534006
1901.75,0.04233246367862472,,0.04233246367862472
1902.0,0.042325126626850354,,0.042325126626850354
1902.25,0.042400436711505965,,0.042400436711505965
1902.5,0.04610666646701019,,0.04610666646701019
1902.75,0.04734723068788347,,0.04734723068788347
1903.0,0.05061980997596873,,0.05061980997596873
1903.25,0.04907293575452949,,0.04907293575452949
1903.5,0.05054654189890739,,0.05054654189890739
1903.75,0.04878176126059446,,0.04878176126059446
1904.0,0.05335705498771815,,0.05335705498771815
1904.25,0.05122393963686827,,0.05122393963686827
1904.5,0.053360023286938,,0.053360023286938
1904.75,0.05305394728347558,,0.05305394728347558
