total,interest_rate,output_wage,expectations
-0.0394927044543624,0.0147454325962469,0.0109027398524696,-0.0651408769030789
-0.0475102338640436,0.00263822184491983,0.0128484234016329,-0.0629968791105963
-0.0473392550919511,-0.000462667786447836,0.0122297110510645,-0.0591062983565678
-0.0445836499433524,-0.000988696871555621,0.0106785522402347,-0.0542735053120314
-0.040821202279753,-0.000868497693032575,0.00896772096618523,-0.0489204255529057
-0.0366484165576223,-0.000643801712571835,0.00735907545476791,-0.0433636902998184
-0.0323770102810514,-0.00044626009206443,0.00591359254410322,-0.0378443427330902
-0.0282020501576489,-0.00029492016551185,0.00462904570478543,-0.0325361756969225
-0.0242503824696668,-0.000182676439828532,0.00348857794763027,-0.0275562839774686
-0.0206008564359102,-9.93170945785666e-05,0.00247497196065235,-0.022976511301984
-0.0172967875744224,-3.65339358836241e-05,0.00157371727248461,-0.0188339709110234
-0.0143552957350515,1.1691589248176e-05,0.000772999481277348,-0.015139986805577
-0.0117746809915575,4.96118320846785e-05,6.30997307575377e-05,-0.0118873925543997
-0.00954025520414862,8.02428006242102e-05,-0.000564161026789483,-0.00905633697798334
-0.00762888727319166,0.000105749745824161,-0.00111583222128102,-0.0066188047977348
-0.00601247733953584,0.000127707451881409,-0.00159812145060377,-0.00454206334081348
-0.00466055143644857,0.000147274825423887,-0.00201659644691549,-0.00279122981495697
-0.00354214554917127,0.00016531398514735,-0.00237632883702128,-0.00133113069729734
-0.00262712510538906,0.000182473281966276,-0.0026819978318463,-0.000127600555509045
-0.00188706360492223,0.000199246297223158,-0.00293796555411671,0.000851655651971314
-0.00129578334602921,0.000216014384991762,-0.00314833179257629,0.00163653406155531
-0.000829642563755012,0.000233077665976632,-0.00331697359577757,0.00225425336604593
-0.0004676369817218,0.000250677771506561,-0.0034475736216233,0.00272925886839494
-0.000191369796337858,0.000269014623479934,-0.00354364015916491,0.00308325573934712
1.50676639050286e-05,0.000288258870910516,-0.00360852103298683,0.00333532982598134
0.000165272126831308,0.000308561150128218,-0.00364541307954853,0.00350212405625162
0.000270736918901358,0.000330059017546235,-0.00365736848945677,0.00359804639081189
0.000341074803817237,0.000352882176406663,-0.0036472990045426,0.00363549163195317
0.000384242177598301,0.000377156454196132,-0.00361797872122563,0.00362506444462779
0.000406755690437232,0.000403006867255981,-0.00357204606631964,0.00357579488950089
0.000413895459536188,0.000430560021039034,-0.00351200536669164,0.00349534080518879
0.000409891381759113,0.000459946029767436,-0.00344022832134979,0.00339017367334147
0.000398090795287089,0.000491300091641966,-0.00335895559678718,0.0032657463004323
0.00038110699887315,0.000524763820720868,-0.00327029869848286,0.00312664187663514
0.000360949018349795,0.00056048641079974,-0.00317624221913737,0.00297670482668743
0.000339133599129076,0.000598625687651587,-0.00307864652419789,0.00281915443567538
