robs,dw,labobs,dc,dinve,dy,pinfobs
0.180374633917253,-0.0341753769189412,-0.126262012815581,-0.188744159044978,-0.295242964247456,-0.187215579490428,-0.0394927044543655
0.132205804510724,-0.0362636031713828,-0.193130152528876,-0.102164332016083,-0.166579581572213,-0.103178534549564,-0.0475102338640484
0.0790211131025259,-0.0281312121001409,-0.218890998556294,-0.0411341895614748,-0.0766810317979104,-0.0434343628645189,-0.0473392550919597
0.041604636355008,-0.0190339967311835,-0.219251039358964,-0.00350740164212667,-0.0180685346352538,-0.00577355709980057,-0.0446053905338166
0.0172903357390866,-0.0110582949400015,-0.204957773413593,0.0180634137531617,0.0185565363136368,0.0165041235572996,-0.0408751711833721
0.00211226064760777,-0.00459607756212906,-0.183028969997628,0.0292345213169233,0.0401469580863957,0.028613212360811,-0.03672956613904
-0.00690328645303675,0.000397716274699844,-0.157938848706224,0.0338537156370897,0.0515809653240558,0.0341543426719487,-0.0324684097723742
-0.0118168176750471,0.00409105892040328,-0.132460764819362,0.0344709285822207,0.0562501109139217,0.0355547422233609,-0.0282802039735407
-0.0140380309772839,0.00668336371585652,-0.108239646625878,0.0327576150849281,0.0565112324087509,0.0344375642897647,-0.0242900392269261
-0.0145294293842444,0.00837267501669999,-0.0861781209364207,0.0297974446413781,0.0540011361536723,0.031880721976963,-0.0205786179028974
-0.0139471299342683,0.00934179422383706,-0.0666967901540409,0.0262820640400729,0.0498529437100414,0.0285927784168559,-0.0171934372676789
-0.012736637353893,0.0097523288667907,-0.0499095988544502,0.022642346071537,0.0448454061017775,0.0250320068305912,-0.0141570145291226
-0.0111980813275259,0.0097427886888753,-0.0357417591200102,0.0191364284175548,0.0395067593523591,0.0214871625999485,-0.0114733980948256
-0.00953089988558673,0.00942893265253097,-0.0240086901617602,0.0159088457267547,0.0341876037011707,0.0181324851232237,-0.00913338613003542
-0.00786464959714785,0.00890535879354545,-0.0144684187453372,0.0130302841748826,0.0291125064185355,0.015065297111822,-0.00711867970472182
-0.00628039833112349,0.00824772074552367,-0.00685587361053025,0.0105243078545598,0.0244168502926907,0.012331794502663,-0.00540514312006294
-0.00482567975509022,0.00751518652297816,-0.000904816973099674,0.00838529726069435,0.0201733415653222,0.00994477719072881,-0.00396531935071863
-0.00352501067812851,0.00675290310055386,0.00363865523112523,0.00659044085825307,0.0164111891691108,0.00789584665747461,-0.00277033028963076
-0.00238732350991439,0.00599432717975784,0.00700833904613231,0.00510769060216451,0.0131300309819118,0.00616378167702806,-0.0017912749262752
-0.00141123437750065,0.00526334610826769,0.00941400416111978,0.00390097231350415,0.0103100540546134,0.004720258904926,-0.00100022307158872
-0.000588778956824523,0.00457615426117841,0.0110400343890485,0.00293352714085518,0.00791933027136583,0.00353371981480004,-0.000370887857483257
