total,interest_rate,expectations,output_wage
-0.0394927044543624,0.0147454325962469,-0.0651408769030789,0.0109027398524696
-0.0475102338640436,0.00263822184491984,-0.0537559853708392,0.00360752966187575
-0.0473392550919511,-0.000462667786447836,-0.0438552647016212,-0.00302132260388206
-0.0445836499433525,-0.000988696871555618,-0.0362829295505152,-0.0073120235212816
-0.0408212022797533,-0.000868497693032575,-0.0304277663991764,-0.0095249381875444
-0.0366484165576226,-0.000643801712571829,-0.0257670449447479,-0.0102375699003029
-0.0323770102810516,-0.000446260092064424,-0.0219721060052346,-0.00995864418375256
-0.0282020501576494,-0.000294920165511853,-0.018836357931993,-0.00907077206014463
-0.0242503824696679,-0.000182676439828535,-0.0162208302210969,-0.00784687580874256
-0.0206008564359111,-9.93170945785633e-05,-0.0140255488488837,-0.0064759904924488
-0.0172967875744231,-3.65339358836241e-05,-0.0121751434440182,-0.00508511019452129
-0.0143552957350526,1.16915892481856e-05,-0.0106111246418781,-0.00375586268242268
-0.0117746809915577,4.96118320846935e-05,-0.00928727865002968,-0.00253701417361274
-0.00954025520414932,8.02428006242126e-05,-0.00816664132447526,-0.00145385668029827
-0.00762888727319254,0.000105749745824147,-0.00721937321078494,-0.000515263808231744
-0.0060124773395388,0.000127707451881369,-0.00642120765358103,0.000281022862160868
-0.00466055143645148,0.000147274825423897,-0.00575229179844979,0.000944465536574416
